Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-484.17676	34.16182	-450.01492	-518.33856	0.0	0.0	0.0	0.0	500.0	0.0	0.0	0.030132858	0.050887503	0.1040693	-0.050119862	0.18225731	0.088840164	0.30015218	-0.027131883	-1.5997887e-07	-0.005975342	-1.9259752e-09	0.0003408174	7372.034	-2199.936	0.024691666	-0.023676025	0	0	3.0	3.675754	0.013435257	1000	5.575932741165161
1	-390.7171	12.624542	-378.09256	-403.34164	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-14.209961	0.6305455	-12.354806	-14.985512	0.012023542	0.039147906	0.08371225	-0.06414356	1.5413761e-07	-0.007506202	-8.8475643e-11	8.299154e-05	3357.7842	-744.6516	0.00059262064	-0.00049926335	0	0	7.0	3.6735806	0.016184978	2000	10.470652103424072
2	-420.40356	75.85652	-344.54706	-496.2601	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-21.389462	0.2119274	-20.77606	-21.607956	0.00016171718	0.0134468805	0.03589432	-0.0227554	4.148483e-08	-0.0073580546	-3.352761e-11	2.1731843e-05	3399.3035	-593.20435	9.692197e-05	-8.84075e-05	0	0	9.0	3.6665046	0.01194233	3000	15.411133050918579
3	-314.87592	4.0720825	-310.80383	-318.948	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-27.123299	0.08526083	-26.833584	-27.212938	0.02423737	0.011476029	0.058115732	0.012304559	1.2183189e-07	-0.012726567	1.7788261e-10	3.287431e-07	1041.645	-210.70367	0.00026376196	-0.00025270678	0	0	79.0	3.6613455	0.00670782	4000	20.484607934951782
4	-369.39606	63.034683	-306.36136	-432.43073	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-30.717659	0.054674044	-30.534502	-30.771456	0.004878436	0.01347612	0.041072372	-0.023113446	1.2993812e-08	-0.009217005	-3.352761e-11	-9.729838e-06	1623.0858	-298.64673	5.005276e-05	-4.3114083e-05	0	0	79.0	3.6614454	0.0066567664	5000	25.57056450843811
5	-382.6304	49.42685	-333.20355	-432.05725	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-34.904446	0.063621074	-34.72849	-34.99076	-0.003731886	0.010563639	0.022041036	-0.029663304	-1.2397766e-08	-0.014670015	5.3085387e-11	-1.4004198e-05	1536.3055	-302.36206	0.000114061884	-0.00011067331	0	0	79.0	3.648398	0.009660377	6000	30.656416416168213
6	-358.5088	51.08441	-307.42438	-409.5932	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-39.297665	0.03073834	-39.18516	-39.329838	0.0037379446	0.0032982808	0.0137206	-0.0013649669	2.270937e-08	-0.0050253775	1.7957063e-11	-1.0011136e-05	1027.6621	-204.2326	4.319897e-06	-3.760453e-06	0	0	5.0	3.6566138	0.01617752	7000	35.65140175819397
7	-383.3305	36.69197	-346.63852	-420.02246	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-43.00014	0.03135553	-42.89304	-43.032764	-0.0014101196	0.002567637	0.005838997	-0.004990171	-3.6358834e-08	-0.013780314	9.138603e-12	7.27695e-06	1143.8767	-232.38495	7.1562113e-06	-6.8695917e-06	0	0	79.0	3.6571236	0.007760867	8000	40.8492591381073
8	-318.1162	48.095352	-270.02084	-366.21155	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-46.976414	0.024173979	-46.898212	-47.001957	0.0005905635	0.0026822302	0.0069094137	-0.0028020162	3.9741398e-08	-0.0149147995	-1.7229468e-11	-9.825227e-07	455.95038	-73.98569	2.6402977e-06	-2.4239969e-06	0	0	79.0	3.6436024	0.010451706	9000	45.97436881065369
9	-288.0835	29.335953	-258.74756	-317.41946	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-49.392025	0.02597764	-49.30215	-49.41411	0.0008513334	0.0027060634	0.0051946747	-0.0032252322	-3.942847e-08	-0.0054364	-1.7462298e-12	9.273799e-06	123.45589	-13.788071	5.9330514e-06	-5.541239e-06	0	0	4.0	3.6437426	0.014195906	10000	50.97964334487915
